the_geom,uid,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,policeprct,censtract,factype,the_geom_webmercator,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,proptype,latitude,longitude,xcoord,ycoord,datasource,facsubgrp
0101000020E6100000CB718E6F387C52C007DB8B3247684440,b6c4c375f4ec11d2f6a843abceb1a3e5,SCHOMBURG CENTER FOR RESEARCH IN BLACK CULTURE,"515",MALCOLM X BOULEVARD,515 MALCOLM X BOULEVARD,NEW YORK,"10037",Manhattan,"1","1058276","1019200029","110",MN03,"09","032","05","022800",PUBLIC LIBRARY,0101000020110F0000E5EB0F1327665FC145AD1C1035045341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.8146727736367","-73.9409445658741","1000596.7722486","236089.886042791",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000008A00A777F17E52C04AD40B3ECD5F4440,8bd8486a9321edbbc80f3e3aff155665,"SCIENCE, INDUSTRY AND BUSINESS LIBRARY (SIBL)","188",MADISON AVENUE,188 MADISON AVENUE,NEW YORK,"10016",Manhattan,"1","1087934","1008647502","105",MN17,"04","014","02","007400",PUBLIC LIBRARY,0101000020110F0000B773850DC76A5FC17C16DB2FB3FA5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.748451","-73.983488","988825.133579232","211957.96729938",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000000EC77420447F52C06ABDB103745B4440,dcb0d3e965899338f201b579e3088b1b,SEWARD PARK LIBRARY,"192",EAST BROADWAY,192 EAST BROADWAY,NEW YORK,"10002",Manhattan,"1","1004053","1003110031","103",MN28,"01","007","02","001401",PUBLIC LIBRARY,0101000020110F0000AAA44675536B5FC13857D780D3F55241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.714477979457","-73.9885331287771","987428.853046437","199580.310438708",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000572885FE8E7E52C0052081DE75644440,fce3c7eb0fbb55ffbe4f6d41748b0441,ST. AGNES LIBRARY,"444",AMSTERDAM AVENUE,444 AMSTERDAM AVENUE,NEW YORK,"10024",Manhattan,"1","1032683","1012290031","107",MN12,"06","020","03","016700",PUBLIC LIBRARY,0101000020110F00004C0346C91F6A5FC145111291ECFF5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7848470812315","-73.9774776745192","990487.061003531","225218.635242325",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000096F07829DD7E52C0F8CDD5A768604440,9cadaf67c08966a1180d5cfd126ed2cd,STEPHEN A. SCHWARZMAN BUILDING,"476",FIFTH AVENUE,476 FIFTH AVENUE,NEW YORK,"10018",Manhattan,"1","1034194","1012570001","105",MN17,"04","014","02","008400",PUBLIC LIBRARY,0101000020110F0000C2BCE38FA46A5FC10593F36B61FB5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7531938356369","-73.9822486573269","989168.179620273","213686.002438533",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000A78D2B683F7E52C0D9BF75B6E0604440,7a75cbd43e776183c01ec72742746b37,TERENCE CARDINAL COOKE-CATHEDRAL LIBRARY,"560",LEXINGTON AVENUE,560 LEXINGTON AVENUE,NEW YORK,"10022",Manhattan,"1","1036451","1013050013","105",MN19,"04","018","02","010000",PUBLIC LIBRARY,0101000020110F000035C6639998695FC1C0B4E806E8FB5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.756857688422","-73.9726200509382","991835.459998799","215021.550157528",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000C3F97409BF7E52C07A3A6337185D4440,0d84dba17de8163342d752728e3c7739,TOMPKINS SQUARE LIBRARY,"331",EAST 10 STREET,331 EAST 10 STREET,NEW YORK,"10009",Manhattan,"1","1005147","1004040039","103",MN22,"02","009","01","003400",PUBLIC LIBRARY,0101000020110F0000F9574164716A5FC1D667E361AAF75241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7273015245928","-73.980409969553","989679.715342605","204252.72121505",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000008E1F4375237C52C0907DB686D16A4440,71312492dc8253aac05fc8b872b6e899,WASHINGTON HEIGHTS LIBRARY,"1000",ST NICHOLAS AVENUE,1000 ST NICHOLAS AVENUE,NEW YORK,"10032",Manhattan,"1","1062551","1021090055","112",MN36,"10","033","06","024301",PUBLIC LIBRARY,0101000020110F000083B9137103665FC1AF7404F60E075341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.8345192328517","-73.9396641879559","1000946.20527534","243320.913834291",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000EB642DFCE27C52C0E2C988EFA4624440,f75aa89f0a847873fa6d7d80dbd4161a,WEBSTER LIBRARY,"1465",YORK AVENUE,1465 YORK AVENUE,NEW YORK,"10075",Manhattan,"1","1045991","1014720028","108",MN31,"05","019","02","013200",PUBLIC LIBRARY,0101000020110F0000E73105C548675FC144E0981DE3FD5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7706584375299","-73.9513540690711","997724.287231004","220052.173626456",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000A09CDFC3357D52C020483F8105634440,7f8af64ffd3a1006f06cc005a3ba3c3d,YORKVILLE LIBRARY,"222",EAST 79 STREET,222 EAST 79 STREET,NEW YORK,"10075",Manhattan,"1","1044180","1014330037","108",MN31,"04","019","02","013400",PUBLIC LIBRARY,0101000020110F0000C3AB3F61D5675FC1F27C266A4FFE5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7736054953568","-73.9564065631589","996324.278168931","221125.148268333",nypl_libraries,PUBLIC LIBRARIES
